campaignTitle,description,url,mainCategory,category,location,countryState,city,continent,valuta,creator,backed,comments,created,numSuccessfulCampaigns,numLiveCampaigns,pastSuccessRate,facebookFriends,goal,currency,campaignDuration,numCollaborators,totWordCount,mainVideo,numAdditionalVideos,numImages,viewGallery,success
Mass Anthem - New Album,,https://www.kickstarter.com/projects/1196001124/mass-anthem-new-album?ref=ending_soon,Music,Music,"Nashville, TN",Tennessee,Nashville,North America,usd,Mass Anthem,0,2,1,1,0,0.5,0,10000,usd,30,0,325,1,0,0,0,1
"El Norte’ÛÎ±o v Boston ""Bull"" Terrier",,https://www.kickstarter.com/projects/1196521924/el-norteno-v-boston-bull-terrier?ref=ending_soon,Film & Video,Comedy,"Madison, WI",Wisconsin,Madison,North America,usd,Justin Jahnke,0,2,1,0,0,0.5,675,600,usd,21.47143519,0,234,1,0,0,0,0
#Stop22,,https://www.kickstarter.com/projects/1197111305/stop22?ref=ending_soon,Art,Art,"Beaumont, TX",Texas,Beaumont,North America,usd,Jonathan Torres,0,2,1,0,0,0.5,0,2000,usd,30,0,154,0,0,0,0,0
Ways To My Heart Alphabet Book,,https://www.kickstarter.com/projects/1197111717/ways-to-my-heart-alphabet-book?ref=ending_soon,Art,Illustration,"San Francisco, CA",California,San Francisco,North America,usd,"Artohol Studios, LLC",0,2,1,1,0,0.5,0,500,usd,29.95833333,0,255,0,0,3,0,1
KIZINGO ’äÎÂ Toddler Spoon for Left & Right-Handed Eaters,,https://www.kickstarter.com/projects/1198171784/kizingos-award-winning-toddler-spoon-for-lefties?ref=ending_soon,Design,Product Design,"Blacksburg, VA",Virginia,Blacksburg,North America,usd,Kizingo,0,2,1,0,0,0.5,0,12000,usd,30,0,888,0,0,20,1,0
How to cope: A father's guide to loss,,https://www.kickstarter.com/projects/1198824479/how-to-cope-a-fathers-guide-to-loss?ref=ending_soon,Publishing,Learn more about accountability.,"Texarkana, AR",Arkansas,Texarkana,North America,usd,Jason Cooper,0,2,1,0,0,0.5,0,25000,usd,44.95833333,0,400,0,0,0,0,0
’äÎçAp’ÛÎ_yanos! CONVEXUS Ballet Contempor’ÛÎçneo M’ÛÎ©xico. Gira Int.,,https://www.kickstarter.com/projects/1198882432/apoyanos-convexus-ballet-contemporaneo-mexico-gira?ref=ending_soon,Dance,Performances,"Mexico City, Mexico",Mexico,Mexico City,North America,mxd,Francisco Rojas,0,2,1,1,0,0.5,826,1614.12,mxd,59.95833333,0,291,1,2,0,0,1
11 ANIMALS!,,https://www.kickstarter.com/projects/11animals/11-animals?ref=ending_soon,Games,Mobile Games,"Madrid, Spain",Spain,Madrid,Europe,eur,Carlos Contreras Alvarez,0,2,1,0,0,0.5,36,41387.58,eur,30,0,227,1,0,4,0,0
"VISION 2 VICTORY M,B,S, EXPERIENCE: the Hampton Roads tour (Canceled)",,https://www.kickstarter.com/projects/1200312495/vision-2-victory-mbs-experience-the-hampton-roads?ref=ending_soon,Theater,Immersive,"Hampton, VA",Virginia,Hampton,North America,usd,Joseph Harris,0,1,2,0,0,0,381,30000,usd,23.53069444,0,450,1,0,0,0,0
Arc Reactor Orbit,,https://www.kickstarter.com/projects/1201084382/arc-reactor-orbit?ref=ending_soon,Technology,Gadgets,"San Francisco, CA",California,San Francisco,North America,usd,Orbits Lights,0,2,1,0,0,0.5,0,2000,usd,28.22931713,0,458,1,0,5,0,0
Balance In The Meaning Of Life,,https://www.kickstarter.com/projects/120287077/balance-in-the-meaning-of-life?ref=ending_soon,Publishing,Fiction,"Madison, IN",Indiana,Madison,North America,usd,Ethan,0,2,1,0,0,0.5,0,10000,usd,59.95833333,0,148,1,0,0,0,0
Red Eye Termite Station,,https://www.kickstarter.com/projects/1203497851/red-eye-termite-station?ref=ending_soon,Technology,Technology,"Grapevine, TX",Texas,Grapevine,North America,usd,Keith Gross,0,2,1,0,0,0.5,0,25000,usd,29.84247685,0,252,1,0,0,1,0
Bobby Deitch Band: Grateful LP- Fulfilling a musical dream.,,https://www.kickstarter.com/projects/1203770006/bobby-deitch-band-grateful-lp-fulfilling-a-musical?ref=ending_soon,Music,R&B,"New York, NY",New York,New York,North America,usd,Bobby Deitch Band,0,2,1,1,0,0.5,0,1,usd,29.95833333,0,383,1,0,0,0,1
Classic Alien Invasion,,https://www.kickstarter.com/projects/1203870302/classic-alien-invasion?ref=ending_soon,Music,Metal,"Achouffe, Belgium",Belgium,Achouffe,Europe,eur,Djent or Not,0,2,1,0,0,0.5,0,3475.5,eur,59.95833333,0,571,0,1,3,0,0
THOR GENESIS - A Desilu Studios Production,,https://www.kickstarter.com/projects/1204647546/thor-genesis-a-desilu-studios-production?ref=ending_soon,Film & Video,Action,"Hollywood, Los Angeles, CA",California,Los Angeles,North America,usd,DESILU STUDIOS,0,2,1,0,0,0.5,0,5.00E+05,usd,30,0,366,0,0,0,0,0
Kickstart a Writing Career (Canceled),,https://www.kickstarter.com/projects/1205211420/kickstart-a-writing-career?ref=ending_soon,Art,Art,"Farmers Branch, TX",Texas,Farmers Branch,North America,usd,Trevor Baxter,0,2,1,0,0,0.5,0,6000,usd,29.95833333,0,494,0,0,0,0,0
Project Child: Origins,,https://www.kickstarter.com/projects/1205232875/project-child-origins?ref=ending_soon,Film & Video,Action,"Los Angeles, CA",California,Los Angeles,North America,usd,Robin Deeter,0,2,1,0,0,0.5,0,32000,usd,44.95833333,0,1539,1,0,0,0,0
Earth III Guitar Straps- Worn by every famous guitar player!,,https://www.kickstarter.com/projects/1206307135/earth-iii-guitar-straps-worn-by-every-famous-guita?ref=ending_soon,Music,Rock,"Frederick, MD",Maryland,Frederick,North America,usd,Roy Jones,0,67,1,0,0,0.5,0,10000,usd,30,0,207,0,0,0,0,0
BBO | The World's First Boardshort Bottle Opener,,https://www.kickstarter.com/projects/1207606774/bbo-the-worlds-first-boardshort-bottle-opener?ref=ending_soon,Fashion,Apparel,"Hallandale, FL",Florida,Hallandale,North America,usd,Abe Allouche,0,2,1,0,0,0.5,0,65000,usd,35,0,309,0,0,19,0,0
Mondo+,,https://www.kickstarter.com/projects/1209003580/mondo?ref=ending_soon,Technology,Sound,"San Diego, CA",California,San Diego,North America,usd,"Grace Digital, Inc.",0,165,1,1,0,0.5,0,50000,usd,29.95833333,0,3142,0,0,36,0,1
"Couteau pliant p’ÛÎålerinage ""Lo Romieu"" et coutellerie forg’ÛÎ©e",,https://www.kickstarter.com/projects/1210289206/couteau-pliant-pelerinage-lo-romieu-et-coutellerie?ref=ending_soon,Crafts,Crafts,"France, France",France,France,Europe,eur,Clavaret Romain,0,2,1,1,0,0.5,182,2122.44,eur,30,0,567,1,0,11,0,1
e-scoot Battery Powered Scooters for Green in-town Travel,,https://www.kickstarter.com/projects/121036751/e-scoot-battery-powered-scooters-for-green-in-town?ref=ending_soon,Technology,Technology,"Shrewsbury, UK",United Kingdom,Shrewsbury,Europe,gbp,e-scoot,0,2,1,0,0,0.5,0,45021.6,gbp,30,0,733,1,0,5,1,0
Horror short film,,https://www.kickstarter.com/projects/1210625110/horror-short-film?ref=ending_soon,Film & Video,Shorts,"London, UK",United Kingdom,London,Europe,gbp,Marc Milan,0,2,1,0,0,0.5,243,625.3,gbp,22.10974537,0,266,0,0,0,0,0
Bastion Kord,,https://www.kickstarter.com/projects/1210935545/bastion-kord?ref=ending_soon,Publishing,Fiction,"Kansas City, MO",Missouri,Kansas City,North America,usd,Matthew L. Marlott,0,2,1,0,0,0.5,0,2000,usd,31.95833333,0,244,0,0,0,0,0
Dragon Lore : Expedition of the mystic islands,,https://www.kickstarter.com/projects/1211273871/dragon-lore-expedition-of-the-mystic-islands?ref=ending_soon,Games,Video Games,"Seoul, South Korea",South Korea,Seoul,Asia,usd,Madcat Games,0,94,1,0,0,0.5,0,50000,usd,27.95833333,0,1252,0,0,46,0,0
I NEED TO POOP!,,https://www.kickstarter.com/projects/1212240800/i-need-to-poop?ref=ending_soon,Art,Illustration,"Stoke-on-Trent, UK",United Kingdom,Stoke-on-Trent,Europe,gbp,Claudia Everest,1,168,2,0,1,0,0,1250.6,gbp,19.63653935,0,434,0,0,6,0,0
SHFT IQ - Become A Better Runner With Your Virtual Coach,,https://www.kickstarter.com/projects/1213180982/shft-iq-become-a-better-runner-with-your-virtual-c?ref=ending_soon,Technology,Gadgets,"Boston, MA",Massachusetts,Boston,North America,usd,SHFT,2,149,1,1,0,0.5,0,50000,usd,30,0,1689,0,0,38,0,1
KAMUNIQUE Next Recordings,,https://www.kickstarter.com/projects/1214980909/kamunique-next-recordings?ref=ending_soon,Music,World Music,"Killeen, TX",Texas,Killeen,North America,usd,TAMMY MARKHAM,0,67,2,0,0,0,0,300,usd,59.95833333,0,143,0,0,0,0,0
X-Fighter code: Mobius,,https://www.kickstarter.com/projects/1215808820/x-fighter-code-mobius?ref=ending_soon,Games,Video Games,"Morelia, Mexico",Mexico,Morelia,North America,mxd,Alberto,0,2,1,0,0,0.5,182,1614.12,mxd,32,0,278,1,0,5,0,0
Medshift X-change,,https://www.kickstarter.com/projects/1216804698/medshift-x-change?ref=ending_soon,Technology,Software,"Los Angeles, CA",California,Los Angeles,North America,usd,james,0,2,1,0,0,0.5,0,150000,usd,29.95833333,0,302,1,0,0,0,0
Master Classes on Traditional Japanese Metalsmithing,,https://www.kickstarter.com/projects/1219280769/master-classes-on-traditional-japanese-metalsmithi?ref=ending_soon,Film & Video,Webseries,"Portland, OR",Oregon,Portland,North America,usd,Momoko Okada,0,2,1,1,0,0.5,218,10000,usd,35.75725694,0,1317,1,0,20,0,1
OUTLIVE TRUMP- Help Us IMPEACH Donald Trump!,,https://www.kickstarter.com/projects/1220007033/outlive-trump-daily-updates-on-impeaching-the-dona?ref=ending_soon,Journalism,Web,"Asheville, NC",North Carolina,Asheville,North America,usd,D.A. McKaig,0,168,6,0,0,0,0,5500,usd,30,0,172,0,0,0,0,0
Overwatch D.VA Gun Lapel Pins!,,https://www.kickstarter.com/projects/1220122520/overwatch-dva-gun-lapel-pins?ref=ending_soon,Games,Video Games,"Philadelphia, PA",Pennsylvania,Philadelphia,North America,usd,Alex Messa,0,2,1,0,0,0.5,0,1270,usd,30,0,81,0,0,0,0,0
Blue Balls: Pin-Up Calendar for Testicular Cancer Awareness,,https://www.kickstarter.com/projects/1220296140/blue-balls-pin-up-calendar-for-testicular-cancer-a?ref=ending_soon,Publishing,Calendars,"Phoenix, AZ",Arizona,Phoenix,North America,usd,Danielle Bright,0,2,1,0,0,0.5,1702,2000,usd,59.95833333,0,174,0,0,5,0,0
"Football Concierge #05: ’¢ÅçÎ_ ""Friends Fly Free"" ’¢Å–èæ",,https://www.kickstarter.com/projects/1220670683/football-concierge-05-friends-fly-free?ref=ending_soon,Art,Mixed Media,"Manhattan, NY",New York,Manhattan,North America,usd,Nowhere FC,0,2,1,1,0,0.5,0,20000,usd,18.15769676,0,685,1,0,22,0,1
The Forward's Coverage of the Leo Frank Case In English,,https://www.kickstarter.com/projects/1221178676/the-forwards-coverage-of-the-leo-frank-case-in-eng?ref=ending_soon,Publishing,Publishing,"New York, NY",New York,New York,North America,usd,David J. Shapiro,0,2,1,0,0,0.5,0,30000,usd,59.95833333,0,279,0,0,0,0,0
Homemade Knitted Harry Potter Scarves,,https://www.kickstarter.com/projects/1222151060/homemade-knitted-harry-potter-scarves?ref=ending_soon,Crafts,Knitting,"Dublin, Ireland",Ireland,Dublin,Europe,eur,Ellie,0,99,3,0,0,0,0,265.31,eur,27.37792824,0,108,0,0,0,0,0
sushinetea's innovative full-leaf artisanal Tea Sticks’¢_—_Î¢,,https://www.kickstarter.com/projects/1223026601/sushineteas-innovative-full-leaf-gourmet-tea-stick?ref=ending_soon,Food,Drinks,"Montclair, NJ",New Jersey,Montclair,North America,usd,Ellen Steinlauf,0,2,1,0,0,0.5,0,7000,usd,44.95833333,0,501,1,0,0,0,0
Buzzinga!! The RPSLS card game (Allin1),,https://www.kickstarter.com/projects/1224858714/buzzinga-the-rpsls-card-game?ref=ending_soon,Games,Tabletop Games,"Madrid, Spain",Spain,Madrid,Europe,eur,Trilogames,0,99,3,1,0,0.5,330,318.37,eur,7,0,1118,0,0,7,0,0
The Horizon of Stars,,https://www.kickstarter.com/projects/1225356827/the-horizon-of-stars?ref=ending_soon,Games,Video Games,"Auckland, NZ",New Zealand,Auckland,Oceania,nzd,The Horizon of Stars,0,2,1,0,0,0.5,0,17507.5,nzd,30,0,1671,1,0,51,0,0
Kamikaze Fashion Store,,https://www.kickstarter.com/projects/1225378564/kamikaze-fashion-store?ref=ending_soon,Fashion,Apparel,"Schleswig, Germany",Germany,Schleswig,Europe,eur,Christian Muff,0,2,1,0,0,0.5,0,10612.2,eur,30,0,216,0,0,14,0,0
Niagara 1979 by Gene Davis back at Artpark: recreation 2017,,https://www.kickstarter.com/projects/1225791209/niagara-1979-by-gene-davis-back-at-artpark-recreat?ref=ending_soon,Art,Public Art,"Lewiston, NY",New York,Lewiston,North America,usd,Artpark and Company,0,2,1,1,0,0.5,0,20000,usd,59.95833333,0,1424,1,1,2,0,1
Finding Wee Paddy,,https://www.kickstarter.com/projects/1226489316/finding-wee-paddy?ref=ending_soon,Film & Video,Film & Video,"Crewe, UK",United Kingdom,Crewe,Europe,gbp,Pete Roch,0,2,1,1,0,0.5,0,625.3,gbp,29.95833333,0,598,1,0,0,0,1
Starting up my photo and art business!,,https://www.kickstarter.com/projects/1227248424/starting-up-my-photo-and-art-business?ref=ending_soon,Art,Digital Art,"Columbus, OH",Ohio,Columbus,North America,usd,Peter Sanders,0,2,1,0,0,0.5,0,20000,usd,59.95833333,0,195,1,0,0,0,0
Wyatt and Jack Sustainable and Upcycled Tote Bag PoPuP Shop,,https://www.kickstarter.com/projects/1228337162/wyatt-and-jack-sustainable-and-upcycled-tote-bag-p?ref=ending_soon,Fashion,Accessories,"Isle of Wight, UK",United Kingdom,Isle of Wight,Europe,gbp,georgia wyatt-willsmore,0,2,1,0,0,0.5,604,62530,gbp,25.98835648,0,353,1,1,3,0,0
Oh Shit! The Excremely Fun Game! Find the Unicorn poo!,,https://www.kickstarter.com/projects/122872817/oh-sh-t-the-excremely-fun-game?ref=ending_soon,Games,Playing Cards,"Drummondville, Canada",Canada,Drummondville,North America,cad,Vievarium,2,94,3,1,0,0,194,4882.15,cad,59.95833333,0,517,1,0,17,0,1
Bryan,,https://www.kickstarter.com/projects/1229246719/bryan?ref=ending_soon,Film & Video,Comedy,"Brooklyn, NY",New York,Brooklyn,North America,usd,Maia Miller,0,2,1,1,0,0.5,2293,1500,usd,30.13364583,0,566,1,0,6,0,1
Make 100: Mary's Vase,,https://www.kickstarter.com/projects/1229303342/make-100-marys-vase?ref=ending_soon,Design,Product Design,"New York, NY",New York,New York,North America,usd,Gregory Walker + So Jung Lee,8,2,1,0,0,0.5,0,16000,usd,44.95833333,0,1059,1,0,30,0,0
African Entrepreneurs ’¢_äŒ_—“ 50 Success Stories,,https://www.kickstarter.com/projects/1229605719/african-entrepreneurs-50-success-stories?ref=ending_soon,Publishing,Nonfiction,"London, UK",United Kingdom,London,Europe,gbp,Steve Emecz,9,38,22,18,0,0.80952381,667,625.3,gbp,23.04820602,0,1021,0,0,3,0,1
Universal sports,,https://www.kickstarter.com/projects/1230213210/universal-sports?ref=ending_soon,Games,Mobile Games,"New York, NY",New York,New York,North America,usd,Joshua Abron,0,2,1,0,0,0.5,248,20000,usd,29.95833333,0,125,0,0,0,0,0
Midnight Legion: The World Reborn,,https://www.kickstarter.com/projects/1230703246/midnight-legion-the-world-reborn?ref=ending_soon,Games,Tabletop Games,"Evanston, IL",Illinois,Evanston,North America,usd,C. Aaron Kreader,23,111,10,9,0,0.888888889,569,1500,usd,31.1458912,0,1335,1,1,13,0,1
The Sweet Spot Bakery - Keep our small town alive,,https://www.kickstarter.com/projects/1230809582/the-sweet-spot-bakery-keep-our-small-town-alive?ref=ending_soon,Food,Learn more about accountability.,"Fairbury, NE",Nebraska,Fairbury,North America,usd,Emily Gary,0,2,1,0,0,0.5,247,55000,usd,44.95833333,0,276,0,0,0,0,0
The Lake Murders (Documentary),,https://www.kickstarter.com/projects/1232270306/the-lake-murders-working-title?ref=ending_soon,Film & Video,Documentary,"Stockholm, Sweden",Sweden,Stockholm,Europe,sek,Marcus Szabo,2,2,1,0,0,0.5,686,33187.2,sek,29.95833333,0,639,1,0,5,0,0
Turmoil of the Seven - Visual Novel (Canceled),,https://www.kickstarter.com/projects/123286172/turmoil-of-the-seven?ref=ending_soon,Games,Video Games,"Kyoto-shi, Japan",Japan,Kyoto-shi,Asia,usd,Antonio Belmonte,0,67,1,0,0,0.5,0,80000,usd,59.95833333,0,1989,1,0,47,0,0
Book Release of my autobiography,,https://www.kickstarter.com/projects/1233734856/book-release-of-my-autobiography?ref=ending_soon,Publishing,Publishing,"Boston, MA",Massachusetts,Boston,North America,usd,De'vaun Jones,0,2,1,0,0,0.5,89,1520,usd,30,0,101,1,0,0,0,0
Pizzabrett,,https://www.kickstarter.com/projects/1233834837/pizzabrett?ref=ending_soon,Food,Food,"Dietschwil, Switzerland",Switzerland,Dietschwil,Europe,chf,Thomas Russo,0,2,1,0,0,0.5,4983,79522.88,chf,29.95833333,0,78,1,0,0,0,0
Tree Effects Tabletop Light Show Tree,,https://www.kickstarter.com/projects/1234170706/tree-effects-tabletop-light-show-tree?ref=ending_soon,Design,Product Design,"Grand Haven, MI",Michigan,Grand Haven,North America,usd,Brad Boyink,1,10,1,1,0,0.5,296,7500,usd,30,1,1044,0,1,16,1,1
Campaign for West African Cuisine Restaurant.,,https://www.kickstarter.com/projects/1236529375/campaign-for-west-african-cuisine-restaurant?ref=ending_soon,Food,Restaurants,"Kansas City, MO",Missouri,Kansas City,North America,usd,Fannie Gibson,0,2,1,0,0,0.5,0,35000,usd,59.41959491,0,340,1,0,0,0,0
"iSaid-uSaid, the App",,https://www.kickstarter.com/projects/123751336/isaid-usaid-the-app?ref=ending_soon,Technology,Apps,"Thousand Oaks, CA",California,Thousand Oaks,North America,usd,Richard Sinderbrand,0,67,2,0,0,0,221,5000,usd,30,0,715,1,0,0,0,0
You AZ - Getting you from A to Z,,https://www.kickstarter.com/projects/1237663391/you-az?ref=ending_soon,Publishing,Nonfiction,"Utrecht, Netherlands",Netherlands,Utrecht,Europe,eur,Yoshi Martodihardjo,15,2,1,0,0,0.5,360,2122.44,eur,30,0,1652,1,0,0,0,0
Feminist at 15,,https://www.kickstarter.com/projects/1237757375/feminist-at-15?ref=ending_soon,Publishing,Nonfiction,"Seattle, WA",Washington,Seattle,North America,usd,Izzy Clarke,2,2,1,1,0,0.5,0,500,usd,29.95833333,0,236,1,0,0,0,1
Documentary Finlande,,https://www.kickstarter.com/projects/1237791146/documentary-finlande?ref=ending_soon,Film & Video,Documentary,"Turku, Finland",Finland,Turku,Europe,eur,Bionic Studio,0,2,1,0,0,0.5,912,10612.2,eur,59.95833333,0,91,1,0,5,0,0
Art and Animation Studio,,https://www.kickstarter.com/projects/1237880054/art-and-animation-studio?ref=ending_soon,Art,Digital Art,"Arlington, VA",Virginia,Arlington,North America,usd,Nasser Guerrou,0,2,1,0,0,0.5,167,2.00E+05,usd,59.95833333,0,364,0,0,0,0,0
Future Politics - Political Transparency & Population Voice,,https://www.kickstarter.com/projects/1238103219/future-politics-political-transparency-and-populat?ref=ending_soon,Journalism,Print,"Brighton and Hove City, UK",United Kingdom,Brighton and Hove City,Europe,gbp,Alexander Barr,0,2,1,0,0,0.5,0,12506,gbp,39.95833333,0,105,0,0,0,0,0
Autonomous Rover,,https://www.kickstarter.com/projects/1238423235/autonomous-rover?ref=ending_soon,Technology,Robots,"Tampa, FL",Florida,Tampa,North America,usd,Frank Magazu,0,2,1,0,0,0.5,0,1500,usd,29.95833333,0,565,1,0,0,1,0
Genuine London Air,,https://www.kickstarter.com/projects/1238936298/genuine-london-air?ref=ending_soon,Art,Conceptual Art,"London, UK",United Kingdom,London,Europe,gbp,Sir David Smiths,0,2,1,1,0,0.5,0,5,gbp,29.95833333,0,196,1,0,0,0,1
Bat-Rex Soft-Enamel/Lapel Pin,,https://www.kickstarter.com/projects/1239720511/bat-rex-enamel-pin?ref=ending_soon,Art,Art,"Fort Worth, TX",Texas,Fort Worth,North America,usd,GiraffeDesign,0,2,1,0,0,0.5,0,450,usd,29.95833333,0,159,0,0,0,0,0
ALIENS VS NUNS,,https://www.kickstarter.com/projects/1240527219/aliens-vs-nuns?ref=ending_soon,Film & Video,Film & Video,"Leicestershire, UK",United Kingdom,Leicestershire,Europe,gbp,Marc Hamill,0,2,1,0,0,0.5,703,4377.1,gbp,29.95833333,0,684,1,0,14,0,0
Atthire - marketplace for renting clothes from people nearby,,https://www.kickstarter.com/projects/1241233505/atthire-marketplace-for-renting-clothes-from-peopl?ref=ending_soon,Fashion,Fashion,"Melbourne, AU",Australia,Melbourne,Oceania,aud,Dmitry,0,2,1,0,0,0.5,0,18937.5,aud,30,0,261,1,0,0,0,0
Art that makes your brain happy,,https://www.kickstarter.com/projects/1241276222/art-that-makes-your-brain-happy?ref=ending_soon,Art,Digital Art,"Georgetown, TX",Texas,Georgetown,North America,usd,Robert D. Jansen,0,75,15,14,0,0.928571429,11,200,usd,44.95833333,0,3305,0,0,6,0,1
DJBeat,,https://www.kickstarter.com/projects/1242388402/djbeat?ref=ending_soon,Technology,Apps,"Montreal, Canada",Canada,Montreal,North America,cad,Josianne Duquette,0,2,1,0,0,0.5,0,22533,cad,29.95833333,0,234,0,0,2,0,0
The Garifuna - A Hybrid Culture (Documentary),,https://www.kickstarter.com/projects/1243764956/the-garifuna-a-hybrid-culture-documentary?ref=ending_soon,Film & Video,Documentary,"Belize City, Belize",Belize,Belize City,North America,usd,Ajani Brown,1,2,1,0,0,0.5,0,3800,usd,30,0,1661,1,0,3,0,0
Strange Things Happen | A street magic show by Calen Morelli,,https://www.kickstarter.com/projects/1244286655/strange-things-happen-a-street-magic-show-by-calen?ref=ending_soon,Film & Video,Experimental,"Las Vegas, NV",Nevada,Las Vegas,North America,usd,Calen Morelli,0,2,1,0,0,0.5,4995,10000,usd,29.95833333,0,882,1,0,4,0,0
Venetian Canals,,https://www.kickstarter.com/projects/1244418289/venetian-canals?ref=ending_soon,Photography,Photography,"Edmonton, Canada",Canada,Edmonton,North America,cad,Robyn,0,2,1,0,0,0.5,0,97.64,cad,34.95833333,0,407,0,0,5,0,0
Lebenshelden (Life’¢_äŒè“s Heroes),,https://www.kickstarter.com/projects/1245027100/lebenshelden-lifes-heroes?ref=ending_soon,Film & Video,Film & Video,"Deutsch, Germany",Germany,Deutsch,Europe,eur,Marina Alt-Nedvidek,1,1,1,1,0,0.5,349,6155.08,eur,30.36877315,0,1042,1,0,0,0,1
MOLD: The First Print Magazine About the Future of Food,,https://www.kickstarter.com/projects/1248781029/mold-the-first-print-magazine-about-the-future-of?ref=ending_soon,Publishing,Periodicals,"New York, NY",New York,New York,North America,usd,MOLD,27,67,1,1,0,0.5,0,34000,usd,29.95833333,0,1304,1,0,25,0,1
The DogFather Chicago Style Hot Dog Cart (Canceled),,https://www.kickstarter.com/projects/125114169/the-dogfather-chicago-style-hot-dog-cart?ref=ending_soon,Food,Food Trucks,"Norfolk, NE",Nebraska,Norfolk,North America,usd,Jay Johnson,0,1,1,0,0,0.5,4697,6500,usd,44.95833333,0,203,1,0,0,0,0
Quazmo Fortune Telling Card Game,,https://www.kickstarter.com/projects/1251228324/quazmo-fortune-telling-card-game?ref=ending_soon,Games,Playing Cards,"Belleville, IL",Illinois,Belleville,North America,usd,Levi,1,67,1,0,0,0.5,194,12000,usd,44.95833333,0,703,0,0,9,0,0
The Cura Your Life Guidebook,,https://www.kickstarter.com/projects/125183155/the-cura-your-life-guidebook?ref=ending_soon,Publishing,Nonfiction,"Lake Charles, LA",Louisiana,Lake Charles,North America,usd,"Angela H. Tezeno, M.Ed., M.A.M.L.",1,2,1,0,0,0.5,0,5000,usd,30,0,1160,1,1,17,0,0
Revision Album Fund,,https://www.kickstarter.com/projects/1252211639/revision-album-fund?ref=ending_soon,Music,Electronic Music,"Pensacola, FL",Florida,Pensacola,North America,usd,Joshua Cowman,0,2,1,1,0,0.5,882,500,usd,59.95833333,0,247,0,0,0,0,1
Made in Dagenham The Musical,,https://www.kickstarter.com/projects/1252725317/made-in-dagenham-the-musical?ref=ending_soon,Theater,Musical,"Liverpool, UK",United Kingdom,Liverpool,Europe,gbp,Intrepid Theatre Productions,0,2,1,1,0,0.5,1045,625.3,gbp,24,0,470,1,0,5,0,1
Metots : Totem Spirit Animal Postcard Coloring Book,,https://www.kickstarter.com/projects/125408895/metots-totem-spirit-animal-postcard-coloring-book?ref=ending_soon,Art,Illustration,"Dayton, OH",Ohio,Dayton,North America,usd,Amy Kollar Anderson,9,67,1,1,0,0.5,3766,3600,usd,30,0,729,1,0,10,0,1
RAYIM. Nuevo disco,,https://www.kickstarter.com/projects/1254384023/rayim-nuevo-disco?ref=ending_soon,Music,World Music,"Mexico City, Mexico",Mexico,Mexico City,North America,mxd,Rayim Ferrera,0,2,1,0,0,0.5,0,3228.24,mxd,30,0,461,1,1,0,0,0
"LaSaundra's First Readers, Children's Book, Emergent",,https://www.kickstarter.com/projects/1254919820/lasaundras-first-readers-childrens-book-emergent?ref=ending_soon,Publishing,Children's Books,"Rockport, TX",Texas,Rockport,North America,usd,LaSaundra,1,2,1,0,0,0.5,0,4500,usd,34.95833333,0,691,1,0,0,0,0
"T-shirt Euforic Existence, two colours print both sides.",,https://www.kickstarter.com/projects/1254984396/t-shirt-euforic-existence-two-colours-print-both-s?ref=ending_soon,Fashion,Fashion,"Antwerp, Belgium",Belgium,Antwerp,Europe,eur,Koen Vanderstappen/Euforic Existence,0,2,1,1,0,0.5,560,424.49,eur,59.95833333,0,143,1,0,0,0,1
Custom Bamboo Skateboards,,https://www.kickstarter.com/projects/1256179838/custom-bamboo-skateboards?ref=ending_soon,Design,Product Design,"Boulder, CO",Colorado,Boulder,North America,usd,Michael Winckler,0,2,1,0,0,0.5,247,20000,usd,29.95833333,0,326,0,0,2,1,0
Fashion Emergencies,,https://www.kickstarter.com/projects/1256207999/fashion-emergencies?ref=ending_soon,Fashion,Ready-to-wear,"Atlanta, GA",Georgia,Atlanta,Europe,usd,Love E Easley,0,2,1,0,0,0.5,1217,4000,usd,29.74184028,0,348,1,0,0,0,0
CASEZO - 1st iPhone7 Case with Rail-mounted Detachable Lens,,https://www.kickstarter.com/projects/1256381285/casezo-1st-iphone-case-with-rail-mounted-detachabl?ref=ending_soon,Design,Product Design,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,Asia,hkd,Yamaha Tsung,6,10,2,0,0,0,262,25727.6,hkd,34.95833333,0,405,0,0,30,0,0
Spinning top USA,,https://www.kickstarter.com/projects/1256585767/spinning-top-usa?ref=ending_soon,Design,Product Design,"Washington, DC",Washington DC,Washington,North America,usd,Katy,0,2,1,1,0,0.5,0,200,usd,30,0,400,0,0,7,1,1
Through the Door - Fan Music by Char (Charlene) MacKay,,https://www.kickstarter.com/projects/1257149617/through-the-door-fan-music-by-char-charlene-mackay?ref=ending_soon,Music,Music,"Spokane, WA",Washington,Spokane,North America,usd,Char MacKay,0,2,1,1,0,0.5,456,2324,usd,30,0,1347,1,0,14,0,1
Araminta: Issue 3,,https://www.kickstarter.com/projects/1258105277/araminta-issue-3?ref=ending_soon,Comics,Graphic Novels,"London, UK",United Kingdom,London,Europe,gbp,Aimee Sullivan,6,67,2,0,0,0,10,125.06,gbp,30,0,387,0,0,0,0,0
DiverCity (Canceled),,https://www.kickstarter.com/projects/1258558654/divercity?ref=ending_soon,Games,Tabletop Games,"Quebec, Canada",Canada,Quebec,North America,cad,Maxime Tardif,38,115,3,1,0,0,906,15022,cad,26.24881944,0,1611,1,5,55,0,1
